subject_areas,Top_Level_Subjects
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Public Health,['Health and Medical Care']
"Psychology, Social Science and Behavioural Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
"Psychology, Psychology, Social Psychology","['Health and Medical Care', 'Social Science and Behavioural Science']"
,['']
"Psychology, Social Science and Behavioural Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
Economics,['Business Administration and Economics']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Public Health,['Health and Medical Care']
Public Health,['Health and Medical Care']
Law and Legal Studies,['Law and Legal Studies']
Law and Legal Studies,['Law and Legal Studies']
Chemistry,['Natural Science']
"Swedish, Swedish as a Foreign Language",['Languages']
"Swedish, Swedish as a Foreign Language",['Languages']
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
Public Health,['Health and Medical Care']
Sociology,['Social Science and Behavioural Science']
"Social Science and Behavioural Science, Sociology",['Social Science and Behavioural Science']
"Social Science and Behavioural Science, Sociology",['Social Science and Behavioural Science']
Technology,['Technology']
"Computer Science, Information Systems",['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Medical Technologies,['Health and Medical Care']
"Business Administration, Economics",['Business Administration and Economics']
,['']
,['']
Economics,['Business Administration and Economics']
Sociology,['Social Science and Behavioural Science']
"Computer Science and Engineering, Statistics","['Computer Science and Engineering', 'Social Science and Behavioural Science', 'Mathematics']"
Physics,['Natural Science']
Chemistry,['Natural Science']
Physics,['Natural Science']
"Engineering Physics, Physics","['Technology', 'Natural Science']"
"Engineering Physics, Physics","['Technology', 'Natural Science']"
Physics,['Natural Science']
Physics,['Natural Science']
Materials Technology,"['Materials, Construction and Manufacturing']"
Physics,['Natural Science']
Physics,['Natural Science']
Physics,['Natural Science']
Physics,['Natural Science']
Earth Science,['Natural Science']
Computer Science,['Computer Science and Engineering']
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
"Archaeology , Humanities, Social Science","['Humanities', 'Social Science and Behavioural Science']"
Biology,['Natural Science']
Physics,['Natural Science']
Radiation Physics,"['Health and Medical Care', 'Natural Science']"
Physics,['Natural Science']
Radiation Physics,"['Health and Medical Care', 'Natural Science']"
Engineering Physics,['Technology']
Vehicle Engineering,['Technology']
Work Science,['Social Science and Behavioural Science']
Work Science,['Social Science and Behavioural Science']
Work Science,['Social Science and Behavioural Science']
Languages,['Languages']
"Comparative Literature, Cultural Studies, Gender Studies","['Humanities', 'Social Science and Behavioural Science']"
Computer Science,['Computer Science and Engineering']
Earth Science,['Natural Science']
Bedrock Geology,['Natural Science']
"Industrial Economics, Organisation and Management","['Organisation and Management', 'Industrial Economics']"
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
Earth Science,['Natural Science']
Technology,['Technology']
Environmental Techniques and Energy Technology,"['Technology', 'Natural Science']"
Environmental Techniques and Energy Technology,"['Technology', 'Natural Science']"
Electrical Engineering,['Technology']
Environmental Techniques and Energy Technology,"['Technology', 'Natural Science']"
Mathematics,['Mathematics']
Computer Science,['Computer Science and Engineering']
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Peace and Development Studies,['Social Science and Behavioural Science']
"Education, Educational Sciences/Didactics",['Education/Educational Sciences/Didactics']
"Education, Educational Sciences/Didactics",['Education/Educational Sciences/Didactics']
Global Studies,['Social Science and Behavioural Science']
History,['Humanities']
English,['Languages']
"Arts, Design and Media, Crafts","['Arts, Design and Media', 'Arts', 'Design and Media']"
Mathematics,['Mathematics']
"Biology, Chemistry, Natural Science",['Natural Science']
Economic History,"['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Information Systems,['Computer Science and Engineering']
"Health and Medical Care, Natural Science, Social Science and Behavioural Science, Social Work and Welfare","['Health and Medical Care', 'Social Work and Welfare', 'Natural Science', 'Social Science and Behavioural Science']"
Business Administration,['Business Administration and Economics']
Education,['Education/Educational Sciences/Didactics']
Information Systems,['Computer Science and Engineering']
Information Systems,['Computer Science and Engineering']
Information Systems,['Computer Science and Engineering']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
"Animal Science, Biology","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
Media Technology,"['Arts, Design and Media', 'Technology']"
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Civil and Environmental Engineering,"['Materials, Construction and Manufacturing']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Electronics,['Technology']
Mechanical Engineering,['Technology']
Textile Studies,"['Arts, Design and Media', 'Humanities']"
Textile Studies,"['Arts, Design and Media', 'Humanities']"
Computer Technology,"['Technology', 'Computer Science and Engineering']"
Chemistry,['Natural Science']
"Mathematics , Natural Science","['Natural Science', 'Mathematics']"
Economics,['Business Administration and Economics']
Earth Science,['Natural Science']
Religious Studies,['Religious Studies']
Languages,['Languages']
Law and Legal Studies,['Law and Legal Studies']
Law and Legal Studies,['Law and Legal Studies']
"Ecology, Gender Studies, Global Studies, Human Geography and Geography, Rural Development","['Humanities', 'Natural Science', 'Social Science and Behavioural Science']"
"Environmental Science, Care and Protection, Rural Development","['Care and Protection', 'Environmental Science', 'Social Science and Behavioural Science']"
European Studies,"['Humanities', 'Social Science and Behavioural Science']"
"Languages, Russian",['Languages']
"Languages, Russian",['Languages']
"Languages, Russian",['Languages']
"Languages, Russian",['Languages']
"Languages, Russian",['Languages']
"Languages, Russian",['Languages']
"Languages, Russian",['Languages']
"Languages, Russian",['Languages']
Russian,['Languages']
"Languages, Russian",['Languages']
"Languages, Russian",['Languages']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Technology,['Technology']
Technology,['Technology']
Computer Science,['Computer Science and Engineering']
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
,['']
Religious Studies,['Religious Studies']
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
